MOFNAME,PS,WS,MC,UPTAKE,QH
AQUDOH_clean,4.03231,3.46877,0.866772,1.570091137,34.8637
ARAFEF_clean,8.89536,8.62816,0.652848,13.35430951,31.7618
ARAFIJ_clean,7.45121,6.98768,0.647247,11.46744089,35.8145
ARAFOP_clean,5.6675,5.04419,0.646339,6.581678986,36.6476
ARINOF_clean,4.65727,3.54074,0.725017,3.211290971,30.5281
ARINUL_clean,4.74057,3.91438,0.688672,3.047636133,30.7998
ASINIB_clean,12.40052,7.22634,1.10392,13.70301316,22.1642
ASIQEA_clean,8.85063,6.25728,0.73793,9.205878242,30.9726
ASIQIE_clean,9.00205,6.2555,0.732752,9.526753312,31.1024
ASIVAB_clean,12.32132,7.27063,0.976376,18.10186125,21.1217
ASUKEE01_clean,4.79531,3.45398,0.623761,3.975161689,32.8604
ASUKEE_clean,4.78914,3.45844,0.622567,4.002011786,33.5401
ATAYEB_clean,10.54748,5.75428,0.990427,15.29208245,31.4241
AVAJUE_clean,37.52571,19.54108,1.03404,9.908625048,10.9826
AVAKAL_clean,26.25291,12.57512,1.10232,9.72082545,11.5325
AVAKEP_clean,25.17564,12.49369,0.946075,11.42651304,13.5268
AVEHAM_clean,4.51878,3.91316,1.06496,2.83126549,31.3984
AVELOD_clean,8.08398,4.98141,0.924831,8.290920989,29.0255
AVITUU_clean,11.69294,6.93274,0.71587,12.7197575,23.3416
AVUDAX_clean,5.88567,3.71625,0.711751,7.1100642,33.0511
AWEZOS01_clean,5.84706,3.42755,0.599348,0.717123688,23.7167
AWEZOS_clean,5.8274,3.41984,0.599121,0.698190174,23.7371
AWIBAK_clean,5.84822,3.40416,0.598971,0.713142499,23.5975
AWIBEO_clean,5.87793,3.52185,0.588526,0.724097833,24.3558
AWIBIS_clean,5.87895,3.53481,0.589129,0.741816952,24.1813
AYOQEM_clean,12.16451,6.87343,0.981466,14.15302755,25.8696
AZAVUU_clean,5.48228,4.93668,1.00132,5.329859593,33.1096
AZAWAB_clean,5.65614,4.89759,0.913119,6.47987025,35.0976
AZIVAI_clean,7.0547,5.80911,0.722567,15.14488327,27.1056
BAFHAU_clean,9.02635,7.37185,0.659092,3.958292868,15.705
BAMKIM_clean,6.79615,5.75134,1.07603,5.616770025,28.0178
BAMKOS_clean,6.76349,5.81846,1.07669,5.838012339,28.5792
BAZFUF01_clean,20.14565,8.54605,1.01134,12.2479184,14.5407
BAZFUF_clean,20.24597,8.58384,0.973789,11.79110887,14.3465
BAZGAM_clean,42.79818,24.24061,1.048,10.82370453,10.3101
BAZGEQ_clean,27.24034,13.9632,0.995022,11.43501252,14.7522
BELJIL_clean,7.21036,5.21436,0.993408,3.21302733,29.6609
BEPVEZ_clean,5.76875,4.44638,0.563266,3.066526646,29.6843
BEPVID_clean,5.29029,4.21546,0.56269,2.70638132,29.6242
BEPVOJ01_clean,5.12362,3.97858,0.56374,2.417291584,29.6611
BEPVOJ_clean,4.87498,3.77095,0.577115,2.310384659,29.1496
BEXSII_clean,6.27069,4.79422,0.980139,11.72160702,32.7808
BEXVEH_clean,9.97626,6.15688,0.983978,16.09940579,29.4205
BIDPOV_clean,11.29156,6.79888,0.975485,17.14759469,24.49384
BIFKEI_clean,5.92703,4.3432,0.811049,8.404567035,33.7885
BIMDEF_clean,4.67684,3.43732,0.927642,5.969568075,38.4911
BIMDIL_clean,5.20728,3.51213,0.949652,5.298925515,32.9317
BINROH_clean,21.31368,10.23686,0.93532,14.5064364,18.768
BIPSUQ_clean,18.61448,16.92881,0.941424,13.06200013,16.9491
BODPAN_clean,13.14982,6.66414,0.987386,13.73417337,28.22639
BOWNUY_clean,15.52711,9.99848,0.663632,13.33247424,22.7664
BOYCEY_auto,12.37213,6.12785,1.17375,18.45933867,24.3609
BUPFEY_clean,9.7736,3.34249,0.508878,5.431110499,27.1918
BUQWER_clean,5.03897,4.14527,0.935166,4.039449766,32.2958
BUXNOZ_clean,11.48655,6.30332,0.92822,14.61894883,27.2777
CAJQEL_clean,13.93661,8.23046,1.02372,16.93939064,25.7018
CAJQIP_clean,13.27741,7.61293,0.999835,14.80999793,18.5769
CAVPIA_manual,19.92035,7.75151,1.28604,11.97233633,15.8087
CAWDOU02_clean,6.97816,4.93144,0.711322,9.101508558,30.3592
CAWDOU_charged,5.51448,3.85745,0.900579,5.540532981,30.5488
CAYDEN_clean,5.0519,4.88565,0.888593,1.997709241,32.0442
CAYDIR_clean,5.11017,4.94322,0.880609,2.03199342,32.0924
CAYDUD_clean,5.16273,4.98367,0.864312,2.008339165,31.0433
CECVAI_clean,8.49795,6.03194,0.787453,14.44766338,24.7534
CEJCAW_clean,5.5108,4.81672,0.940118,5.37469347,30.8571
CENJIQ_clean,8.5056,4.03981,0.870582,5.871313755,27.5443
CENKAJ_clean,8.21931,4.12189,0.900687,6.118923212,27.8435
CETHEQ_clean,9.71439,7.35018,0.71163,6.741528896,23.6913
CIDKUX_clean,9.17673,8.30352,0.776845,10.42532226,33.7524
CIRTUU_clean,15.60203,7.15132,0.982919,18.00704973,22.3186
CISLUN_clean,5.76312,4.73452,0.781869,8.44809487,28.6297
CIVTEH_clean,5.3881,4.01709,0.847224,5.992571819,30.6339
CIYZUG_clean,4.43409,3.66305,0.873397,1.261992713,29.0674
CIZPOS_clean,10.90949,3.96313,1.00342,11.48903021,31.4823
COKMOG_clean,11.40307,10.64671,1.1155,8.87281596,31.6547
COKQAW_clean,11.31709,10.61593,1.13472,8.985528256,31.5618
COTYIV_clean,9.63817,7.84231,0.68047,9.273846924,23.9152
CUGVUW_clean,6.46234,4.56978,0.821553,2.204004126,29.757
CUIMDZ01_clean_h,4.5789,3.79593,0.704176,0.550417153,27.875
CUNFOH01_clean,8.64942,5.76711,0.47003,3.559413756,22.0481
